Field Name,Field ID,Type,Formula,Primary Field,Description,API Notes,Linked Table,Choices,Looked Up From,Rolled Up From
Booking ID,fldhtPKUwQpnQospL,Formula,RECORD_ID(),Yes,Auto-generated booking record ID,"Read-only, computed field",,,,
Registration,fld3Bxp7cWSVk7Um5,Linked Record,,No,,Array of record IDs from linked table,Registrations - tblxFb5zXR3ZKtaw9,,,
Payment Amount,fld5kd2zeTMBRIbo9,Number,,No,,Numeric value in currency format,,,,
Payment Reference,fldTlmHFKDfuVuqqG,Single Line Text,,No,,String value,,,,
Payment Method,flde9ksccaPhHGvNf,Single Select,,No,,"Use choice ID (selRRWRWBO3ztYdPR for PayPal, seloogLWA2yTkCL5D for Cash, selciBy06uJ5ijvlL for Stripe, selUQbZ6iuEHwdZoo for Not Applicable)",,"PayPal, Cash, Stripe, Not Applicable",,
Payment Status,fldpZxt1Whc9jxptv,Single Select,,No,,"Use choice ID (seluEz2GO9KyrmWcs for Pending, sel6K2RJrpf9RqjaT for Paid, sel1WJ2PEhN9yh9BV for Not Required, etc.)",,"Pending, Paid, Not Required, Error, Unpaid, Other, Refunded, Void",,
Payment Date,fldRYJ3kTcYF7l1yO,Date,,No,,ISO 8601 date string (YYYY-MM-DD),,,,
Email,fldsMiLWnbtTAuSkA,Lookup,,No,,"Read-only, values from linked records",,,fld0wnKL6GJJGL0fX,
Meeting ID,fld1vspfn03K1E7Jk,Lookup,,No,,"Read-only, values from linked records",,,fld7D8rEMxbDr6Xm9,
First Name,fld6LsClb3IXjIMWn,Lookup,,No,,"Read-only, values from linked records",,,fldZ9k6mSvKngXy3S,
Last Name,fldqFVTuw9YvWt3RI,Lookup,,No,,"Read-only, values from linked records",,,fldfO5MTnrNTS25Qh,
Created,fldrB4dhQEn9OGqej,Formula,CREATED_TIME(),No,,"Read-only, computed field",,,,
Role,fldnaFbzYpLFwCnM7,Lookup,,No,,"Read-only, values from linked records",,,fld1D5GQDUKoyj0jB,
Dietary Requirements,fldrehv7lqj8fKKMO,Long Text,,No,,String value,,,,
Discounts,fldXremAhWyADFUW8,Number,,No,,Numeric value in currency format,,,,
Subtotal,fldfnbZGo1A9QXQpM,Number,,No,,Numeric value in currency format,,,,
Booked Items Total,fldjmHFo0CSVGqzG9,Rollup,,No,,"Read-only, aggregated from linked records",,,,fldwxhnJz5vsQCzMn
Modified,flddFOBnmCb7VqXFs,Formula,LAST_MODIFIED_TIME(),No,,"Read-only, computed field",,,,
Booked Items,fldN9UddcLTRIrKqm,Linked Record,,No,,Array of record IDs from linked table,Booked Items - tbluEJs6UHGhLbvJX,,,
Status,fldVOX4YsF09pN5x9,Single Select,,No,,"Use choice ID (selcs46Zf0phH4HHK for Pending, sel4nlOtZTGmQub0w for Complete, selDY9A2g5ianTePJ for Cancelled)",,"Pending, Complete, Cancelled",,
Confirmation,fld19Nmwx68ECgKOl,Single Line Text,,No,,String value,,,,
Total,fldOMYCYZLdepuKqI,Number,,No,,Numeric value in currency format,,,,
Payer Email,fldFPUPusA9xusumg,Single Line Text,,No,,String value (email address),,,,
Payer Name,fldCcb0lIf9Ucj7BF,Single Line Text,,No,,String value,,,,
Receipt Timestamp,fldAMKxptKGU7ZYjj,Formula,LAST_MODIFIED_TIME(...),No,,"Read-only, computed field tracking modifications to payment-related fields",,,,
